VEHICLE_TYPE,VEHICLE_CATEGORY
2 dr sedan,SEDAN
3-Door,SEDAN
4 dr sedan,SEDAN
AMB,AMBULANCE
AMBU,AMBULANCE
AMBUL,AMBULANCE
AMBULANCE,AMBULANCE
Ambul,AMBULANCE
Ambulance,AMBULANCE
Armored Truck,ARMORED TRUCK
BACKH,CONSTRUCTION
BICYCLE,BIKE
BOBCA,CONSTRUCTION
BOX T,BOX TRUCK
BOX TRUCK,BOX TRUCK
BULLD,CONSTRUCTION
BUS,BUS
Beverage Truck,BEVERAGE TRUCK
Bike,BIKE
Box T,BOX TRUCK
Box Truck,BOX TRUCK
Bulk Agriculture,AGRICULTURE VEHICLE
Bus,BUS
C1,BOX TRUCK
CARGO,BOX TRUCK
CATER,CONSTRUCTION
CEMEN,CONCRETE MIXER
CMIX,CONCRETE MIXER
COM,COMMERCIAL
COMM,COMMERCIAL
COMME,COMMERCIAL
COMMERCIAL,COMMERCIAL
CONST,CONSTRUCTION
CRANE,CONSTRUCTION
Carry All,GOLF CART
Chassis Cab,CHASSIS CAB
Comme,COMMERCIAL
Concrete Mixer,CONCRETE MIXER
Convertible,CONVERTIBLE
DELIV,DELIVERY TRUCK
DELIVERY T,DELIVERY TRUCK
DELV,DELIVERY TRUCK
DIRT BIKE,MOTORCYCLE
DUMP,DUMP TRUCK
DUMP TRUCK,DUMP TRUCK
Deliv,DELIVERY TRUCK
Dump,DUMP TRUCK
E BIK,BIKE
E-BIK,BIKE
E-BIKE,BIKE
E-Bik,BIKE
E-Bike,BIKE
E-SCOOTER,SCOOTER
E-Sco,SCOOTER
E-Scooter,SCOOTER
EBIKE,BIKE
ELECT,ELECTRIC
Elect,ELECTRIC
Enclosed Body - Nonremovable Enclosure,BOX TRUCK
Enclosed Body - Removable Enclosure,BOX TRUCK
FDNY,FDNY
FDNY AMBUL,AMBULANCE
FDNY FIRE,FDNY
FDNY TRUCK,FDNY
FIRE,FDNY
FIRE ENGIN,FDNY
FIRE TRUCK,FDNY
FIRET,FDNY
FIRETRUCK,FDNY
FLAT,FLAT BED
FLATB,FLAT BED
FOOD,BOX TRUCK
FORD,FORD
FORK,CONSTRUCTION
FORK LIFT,CONSTRUCTION
FORKL,CONSTRUCTION
FORKLIFT,CONSTRUCTION
FREIG,FREIGHT
Fire,FDNY
Fire Truck,FDNY
Fire truck,FDNY
Firetruck,FDNY
Flat Bed,FLAT BED
Flat Rack,FLAT BED
Fork,CONSTRUCTION
Forkl,CONSTRUCTION
GARBA,GARBAGE TRUCK
GARBAGE TR,GARBAGE TRUCK
GOLF,GOLF CART
Garba,GARBAGE TRUCK
Garbage or Refuse,GARBAGE TRUCK
Glass Rack,RACK
HINO,BOX TRUCK
HORSE,HORSE
Hopper,HOPPER
LARGE COM VEH(6 OR MORE TIRES),COMMERCIAL
LIMO,LIMO
LIVERY VEHICLE,AGRICULTURE VEHICLE
Lift Boom,CONSTRUCTION
Livestock Rack,AGRICULTURE VEHICLE
Log,LOG
Lunch Wagon,LUNCH WAGON
MACK,FLAT BED
MAIL,USPS
MINI,MINI
MOPED,MOTORCYCLE
MOTOR,MOTORCYCLE
MOTORCYCLE,MOTORCYCLE
MTA B,BUS
MTA BUS,BUS
Minibike,BIKE
Minicycle,MOTORCYCLE
Moped,MOTORCYCLE
Motorbike,MOTORCYCLE
Motorcycle,MOTORCYCLE
Motorized Home,MOTORIZED HOME
Motorscooter,SCOOTER
Multi-Wheeled Vehicle,COMMERCIAL
N/A,OTHER
NA,NA
OML,OTHER
OMR,OTHER
OMT,OTHER
OTHER,OTHER
Open Body,PICK-UP TRUCK
P/SH,PASSENGER VEHICLE
PAS,PASSENGER VEHICLE
PASS,PASSENGER VEHICLE
PASSENGER VEHICLE,PASSENGER VEHICLE
PC,PEDICAB
PEDICAB,PEDICAB
